,Movie Title,Budget (USD),Total Gross (USD),Profitability (GM%),Release Year,Average IMDB Rating,Director
436,Jurassic World,"$215,000,000","$2,301,125,489",90.66,2015,7.0,Colin Trevorrow
870,The Avengers,"$225,000,000","$2,141,215,444",89.49,2012,8.0,Joss Whedon
53,Black Panther,"$200,000,000","$2,048,317,790",90.24,2018,7.3,Ryan Coogler
464,Avengers: Age of Ultron,"$330,600,000","$1,862,019,831",82.25,2015,7.3,Joss Whedon
54,Jurassic World: Fallen Kingdom,"$170,000,000","$1,723,492,559",90.14,2018,6.2,J.A. Bayona
728,Iron Man 3,"$200,000,000","$1,624,384,544",87.69,2013,7.1,Shane Black
290,Rogue One: A Star Wars Story,"$200,000,000","$1,581,280,180",87.35,2016,7.8,Gareth Edwards
1012,Transformers: Dark of the Moon,"$195,000,000","$1,476,181,086",86.79,2011,6.2,Michael Bay
599,Transformers: Age of Extinction,"$210,000,000","$1,349,478,152",84.44,2014,5.6,Michael Bay
718,The Hunger Games: Catching Fire,"$130,000,000","$1,289,536,094",89.92,2013,7.5,Francis Lawrence
177,Spider-Man: Homecoming,"$175,000,000","$1,214,367,490",85.59,2017,7.4,Jon Watts
1170,Inception,"$160,000,000","$1,128,100,837",85.82,2010,8.8,Christopher Nolan
585,The Hunger Games: Mockingjay - Part 1,"$125,000,000","$1,103,711,016",88.67,2014,6.6,Francis Lawrence
859,The Hunger Games,"$80,000,000","$1,085,934,071",92.63,2012,7.2,Gary Ross
899,The Amazing Spider-Man,"$220,000,000","$1,019,920,930",78.43,2012,6.9,Marc Webb
619,X-Men: Days of Future Past,"$200,000,000","$981,784,309",79.63,2014,7.9,Bryan Singer
759,Man of Steel,"$225,000,000","$959,045,036",76.54,2013,7.0,Zack Snyder
463,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$930,710,689",82.81,2015,6.6,Francis Lawrence
622,The Amazing Spider-Man 2,"$200,000,000","$911,850,269",78.07,2014,6.6,Marc Webb
213,Transformers: The Last Knight,"$217,000,000","$733,062,023",70.4,2017,5.2,Michael Bay
