,movie,budget_int,total_gross_int,gross_margin,release_year,tconst,runtime_minutes,genre_lists,main_genre,averageRating,title,region,is_original_title,gross_margin_dollars
0,Us,20000000,429217240,95.34,2019,tt6857112,116.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,6.8,Nosotros,AR,0.0,409217240
27,Dragon Ball Super: Broly,8500000,153124510,94.45,2019,,,,,,,,,144624510
28,Five Feet Apart,7000000,126233642,94.45,2019,tt6472976,116.0,"['Drama', 'Romance']",Drama/Romance,7.2,Five Feet Apart,US,0.0,119233642
49,Glass,20000000,356338510,94.39,2019,tt6823368,129.0,"['Drama', 'Sci-Fi', 'Thriller']",Drama/Sci-Fi/Thriller,6.6,Glass,AR,0.0,336338510
73,MA,5000000,80350165,93.78,2019,,,,,,,,,75350165
74,Happy Death Day 2U,9000000,92230540,90.24,2019,tt8155288,100.0,"['Drama', 'Horror', 'Mystery']",Drama/Horror/Mystery,6.2,Happy Death Day 2U,,1.0,83230540
104,John Wick: Chapter 3 - Parabellum,40000000,398242353,89.96,2019,tt6146586,131.0,"['Action', 'Crime', 'Thriller']",Action/Crime/Thriller,7.4,John Wick 3: Parabellum,PE,0.0,358242353
136,The Intruder,8000000,71101775,88.75,2019,tt6722030,102.0,"['Drama', 'Horror', 'Mystery']",Drama/Horror/Mystery,5.6,The Intruder,,1.0,63101775
143,Captain Marvel,175000000,1549587502,88.71,2019,tt4154664,123.0,"['Action', 'Adventure', 'Sci-Fi']",Action/Adventure/Sci-Fi,6.8,Captain Marvel (Capitão Marvel),PT,0.0,1374587502
175,Pet Sematary,21000000,164225842,87.21,2019,tt0837563,101.0,"['Horror', 'Mystery', 'Thriller']",Horror/Mystery/Thriller,5.7,Gyvuneliu kapines,LT,0.0,143225842
209,BrightBurn,7000000,44783930,84.37,2019,,,,,,,,,37783930
210,What Men Want,20000000,124523806,83.94,2019,tt7634968,117.0,"['Comedy', 'Fantasy', 'Romance']",Comedy/Fantasy/Romance,5.3,Lo que ellos quieren,PE,0.0,104523806
226,The Upside,37500000,227260033,83.5,2019,,,,,,,,,189760033
227,Unplanned,6000000,36215242,83.43,2019,tt9024106,106.0,"['Biography', 'Drama']",Biography/Drama,5.8,Unplanned,,1.0,30215242
